row_id,v2_common_hotel_id,city_id,slug,name,run_id,reason,detail,last_attempted_at
200,452153,1280,avari-hotel-apartments,avari hotel apartments,20260821-122343,no_agoda_match,"rejected ""Avari Apartments - Gray's Collection"" name=84% strict=68% dist=5475.37km same_city=False",2026-08-21T13:54:58
201,452177,1280,mercure-hotel-suites-apartments-dubai-barsha-heights,mercure hotel suites & apartments dubai barsha heights,20260821-122343,no_agoda_match,no candidate above name threshold,2026-08-21T13:56:27
202,452184,1280,time-crystal-hotel-apartments,time crystal hotel apartments,20260821-122343,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-21T13:57:29
203,452201,1280,downtown-hotel-267,downtown hotel,20260821-122343,no_agoda_match,rejected 'Sun and Sands Downtown Hotel' name=100% strict=67% dist=1.80km same_city=True,2026-08-21T13:58:15
204,452232,1280,jumeirah-beit-al-bahar,jumeirah beit al bahar,20260821-122343,no_agoda_match,no candidate above name threshold,2026-08-21T14:07:26
205,452245,1280,akas-inn-hotel-apartment-593,akas inn hotel apartment,20260821-122343,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-21T14:14:20
206,452268,1280,arabian-dreams-hotel-apartments-765,arabian dreams hotel apartments,20260821-122343,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-21T14:41:06
207,452270,1280,oyo-capital-o-167-moon-valley-hotel-apartment,oyo capital o 167 moon valley hotel apartment,20260821-122343,no_agoda_match,no candidate above name threshold,2026-08-21T14:41:12
208,452272,1280,le-meridien-fairway-697,le meridien fairway,20260821-122343,no_agoda_match,rejected 'Le Méridien Towers Makkah' name=73% strict=50% dist=1639.32km same_city=False,2026-08-21T14:41:30
209,452280,1280,al-nakheel-hotel-apartments-932,al nakheel hotel apartments,20260821-122343,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-21T14:45:37
210,452285,1280,radisson-blu-hotel-dubai-media-city-535,radisson blu hotel dubai media city,20260821-122343,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-21T14:48:37
