id,mime_type,attachment_url,attachment_size,attachable_type,attachable_id,category,created_at,updated_at
3808824,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/22bb7ea21c8004036f961e66de150387.jpg,MED,App\Models\Hotels\Room,730,room-image,2026-08-11 11:36:13,2026-08-11 11:36:13
3808825,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b764e68b2598f7d66391777fd9d6b72a.jpg,MED,App\Models\Hotels\Room,730,room-image,2026-08-11 11:36:14,2026-08-11 11:36:14
3808826,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/0a8b9d728b08818495b96d28c86ab66b.jpg,MED,App\Models\Hotels\Room,732,room-image,2026-08-11 11:36:14,2026-08-11 11:36:14
3808827,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c8a850ab36af9308e1ac8c7063c28db4.jpg,MED,App\Models\Hotels\Room,732,room-image,2026-08-11 11:36:14,2026-08-11 11:36:14
3808828,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/9145acff07e770bd560b5d51ac15584d.jpg,MED,App\Models\Hotels\Room,732,room-image,2026-08-11 11:36:14,2026-08-11 11:36:14
3808829,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/22bb7ea21c8004036f961e66de150387.jpg,MED,App\Models\Hotels\Room,732,room-image,2026-08-11 11:36:14,2026-08-11 11:36:14
3808830,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b764e68b2598f7d66391777fd9d6b72a.jpg,MED,App\Models\Hotels\Room,732,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808831,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/75aa8336b179fe996126d5e03e812b51.jpg,MED,App\Models\Hotels\Room,733,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808832,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c8a850ab36af9308e1ac8c7063c28db4.jpg,MED,App\Models\Hotels\Room,733,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808833,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c698359e875c39675d5a713ed64fccb3.jpg,MED,App\Models\Hotels\Room,733,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808834,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b764e68b2598f7d66391777fd9d6b72a.jpg,MED,App\Models\Hotels\Room,733,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808835,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/67998c53f7a3e931aafbc3d1eaabd4dd.jpg,MED,App\Models\Hotels\Room,733,room-image,2026-08-11 11:36:15,2026-08-11 11:36:15
3808836,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/75aa8336b179fe996126d5e03e812b51.jpg,MED,App\Models\Hotels\Room,736,room-image,2026-08-11 11:36:16,2026-08-11 11:36:16
3808837,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c8a850ab36af9308e1ac8c7063c28db4.jpg,MED,App\Models\Hotels\Room,736,room-image,2026-08-11 11:36:16,2026-08-11 11:36:16
3808838,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/04ea51223ea8149ad525625f28985e78.jpg,MED,App\Models\Hotels\Room,736,room-image,2026-08-11 11:36:17,2026-08-11 11:36:17
3808839,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/1e826fdcf3275582fb1de5f75f97d48b.jpg,MED,App\Models\Hotels\Room,736,room-image,2026-08-11 11:36:17,2026-08-11 11:36:17
3808840,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c698359e875c39675d5a713ed64fccb3.jpg,MED,App\Models\Hotels\Room,736,room-image,2026-08-11 11:36:17,2026-08-11 11:36:17
3808841,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/75aa8336b179fe996126d5e03e812b51.jpg,MED,App\Models\Hotels\Room,738,room-image,2026-08-11 11:36:17,2026-08-11 11:36:17
3808842,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/622ba65a9f78460265913b529893fa32.jpg,MED,App\Models\Hotels\Room,738,room-image,2026-08-11 11:36:18,2026-08-11 11:36:18
3808843,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/04ea51223ea8149ad525625f28985e78.jpg,MED,App\Models\Hotels\Room,738,room-image,2026-08-11 11:36:18,2026-08-11 11:36:18
3808844,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/d48aa1a03e46e368e594606deb478da5.jpg,MED,App\Models\Hotels\Room,738,room-image,2026-08-11 11:36:18,2026-08-11 11:36:18
3808845,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/1b6f75d60c5d76ec567a167b48e22be5.jpg,MED,App\Models\Hotels\Room,738,room-image,2026-08-11 11:36:18,2026-08-11 11:36:18
3808846,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/e224c3dcba551e05d620f0826a675421.jpg,MED,App\Models\Hotels\Room,760,room-image,2026-08-11 11:36:43,2026-08-11 11:36:43
3808847,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/bc403e033dc5e3126587e75a3a24ba2f.jpg,MED,App\Models\Hotels\Room,760,room-image,2026-08-11 11:36:43,2026-08-11 11:36:43
3808848,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/9f9d98eb06f6358a2d29d3bf3cdfc351.jpg,MED,App\Models\Hotels\Room,760,room-image,2026-08-11 11:36:43,2026-08-11 11:36:43
3808849,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b3a88e1f859101d7c2471711e51dd540.jpg,MED,App\Models\Hotels\Room,760,room-image,2026-08-11 11:36:43,2026-08-11 11:36:43
3808850,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/4480dab62406124fbbf214603f75a5a0.jpg,MED,App\Models\Hotels\Room,760,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808851,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b2a80f05ff43cacc2b3decb9cb8c92bd.jpg,MED,App\Models\Hotels\Room,761,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808852,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/e224c3dcba551e05d620f0826a675421.jpg,MED,App\Models\Hotels\Room,761,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808853,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/9f9d98eb06f6358a2d29d3bf3cdfc351.jpg,MED,App\Models\Hotels\Room,761,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808854,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/bc403e033dc5e3126587e75a3a24ba2f.jpg,MED,App\Models\Hotels\Room,761,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808855,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/b3a88e1f859101d7c2471711e51dd540.jpg,MED,App\Models\Hotels\Room,761,room-image,2026-08-11 11:36:44,2026-08-11 11:36:44
3808856,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/103d8bd892b76f2e0e68f7b1134b14d5.jpg,MED,App\Models\Hotels\Room,762,room-image,2026-08-11 11:36:45,2026-08-11 11:36:45
3808857,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/e224c3dcba551e05d620f0826a675421.jpg,MED,App\Models\Hotels\Room,762,room-image,2026-08-11 11:36:45,2026-08-11 11:36:45
